Object Type;Object Name;Data Source;Time Period;Category;Data Item;Statistic Type;Value
Path;Path15;[Travelers];Run;Throughput;NumberExited;Total;4
Path;Path16;[Travelers];Run;Content;NumberOnLink;Average;0.0868142361111111
Path;Path16;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path16;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path16;[Travelers];Run;FlowTime;TimeOnLink;Average;0.694513888888889
Path;Path16;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.694513888888889
Path;Path16;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.694513888888888
Path;Path16;[Travelers];Run;Throughput;NumberEntered;Total;3
Path;Path16;[Travelers];Run;Throughput;NumberExited;Total;3
Path;Path17;[Travelers];Run;Content;NumberOnLink;Average;0.0578761574074074
Path;Path17;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path17;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path17;[Travelers];Run;FlowTime;TimeOnLink;Average;0.694513888888888
Path;Path17;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.694513888888888
Path;Path17;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.694513888888888
Path;Path17;[Travelers];Run;Throughput;NumberEntered;Total;2
Path;Path17;[Travelers];Run;Throughput;NumberExited;Total;2
Path;Path19;[Travelers];Run;Content;NumberOnLink;Average;0.000250000000000019
Path;Path19;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path19;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path19;[Travelers];Run;FlowTime;TimeOnLink;Average;0.00200000000000015
Path;Path19;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00200000000000067
Path;Path19;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.00199999999999978
Path;Path19;[Travelers];Run;Throughput;NumberEntered;Total;3
Path;Path19;[Travelers];Run;Throughput;NumberExited;Total;3
Path;Path2;[Travelers];Run;Content;NumberOnLink;Average;0.0335112847222222
Path;Path2;[Travelers];Run;Content;NumberOnLink;Maximum;2
Path;Path2;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path2;[Travelers];Run;FlowTime;TimeOnLink;Average;0.000704882413087935
Path;Path2;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00072916666666667
Path;Path2;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.000520833333333304
Path;Path2;[Travelers];Run;Throughput;NumberEntered;Total;1141
Path;Path2;[Travelers];Run;Throughput;NumberExited;Total;1141
Path;Path20;[Travelers];Run;Content;NumberOnLink;Average;0.000339988425925863
Path;Path20;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path20;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path20;[Travelers];Run;FlowTime;TimeOnLink;Average;0.00163194444444414
Path;Path20;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00163194444444414
Path;Path20;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.00163194444444414
Path;Path20;[Travelers];Run;Throughput;NumberEntered;Total;5
Path;Path20;[Travelers];Run;Throughput;NumberExited;Total;5
Path;Path21;[Travelers];Run;Content;NumberOnLink;Average;5.50925925926204E-05
Path;Path21;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path21;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path21;[Travelers];Run;FlowTime;TimeOnLink;Average;0.00132222222222289
Path;Path21;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00132222222222289
Path;Path21;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.00132222222222289
Path;Path21;[Travelers];Run;Throughput;NumberEntered;Total;1
Path;Path21;[Travelers];Run;Throughput;NumberExited;Total;1
Path;Path22;[Travelers];Run;Content;NumberOnLink;Average;0.000110185185185167
Path;Path22;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path22;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path22;[Travelers];Run;FlowTime;TimeOnLink;Average;0.001322222222222
Path;Path22;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00132222222222289
Path;Path22;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.00132222222222111
Path;Path22;[Travelers];Run;Throughput;NumberEntered;Total;2
Path;Path22;[Travelers];Run;Throughput;NumberExited;Total;2
Path;Path23;[Travelers];Run;Content;NumberOnLink;Average;6.79976851852097E-05
Path;Path23;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path23;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path23;[Travelers];Run;FlowTime;TimeOnLink;Average;0.00163194444444503
Path;Path23;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00163194444444503
Path;Path23;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.00163194444444503
Path;Path23;[Travelers];Run;Throughput;NumberEntered;Total;1
Path;Path23;[Travelers];Run;Throughput;NumberExited;Total;1
Path;Path24;[Travelers];Run;Content;NumberOnLink;Average;8.33333333333612E-05
Path;Path24;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path24;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path24;[Travelers];Run;FlowTime;TimeOnLink;Average;0.00200000000000067
Path;Path24;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00200000000000067
Path;Path24;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.00200000000000067
Path;Path24;[Travelers];Run;Throughput;NumberEntered;Total;1
Path;Path24;[Travelers];Run;Throughput;NumberExited;Total;1
Path;Path25;[Travelers];Run;Content;NumberOnLink;Average;0.000199652777777744
Path;Path25;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path25;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path25;[Travelers];Run;FlowTime;TimeOnLink;Average;0.00239583333333293
Path;Path25;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00239583333333293
Path;Path25;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.00239583333333293
Path;Path25;[Travelers];Run;Throughput;NumberEntered;Total;2
Path;Path25;[Travelers];Run;Throughput;NumberExited;Total;2
Path;Path3;[Travelers];Run;Content;NumberOnLink;Average;0.0218749999999993
Path;Path3;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path3;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path3;[Travelers];Run;FlowTime;TimeOnLink;Average;0.000520833333333317
Path;Path3;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.000520833333333359
Path;Path3;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.000520833333333304
Path;Path3;[Travelers];Run;Throughput;NumberEntered;Total;1008
Path;Path3;[Travelers];Run;Throughput;NumberExited;Total;1008
Path;Path4;[Travelers];Run;Content;NumberAccumulated;Average;6.01527393264782E-06
Path;Path4;[Travelers];Run;Content;NumberAccumulated;Maximum;1
Path;Path4;[Travelers];Run;Content;NumberAccumulated;Minimum;0
Path;Path4;[Travelers];Run;Content;NumberOnLink;Average;0.0127056680517107
Path;Path4;[Travelers];Run;Content;NumberOnLink;Maximum;3
Path;Path4;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path4;[Travelers];Run;FlowTime;TimeOnLink;Average;0.00229275212963201
Path;Path4;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00243603324105024
Path;Path4;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.00229166666666664
Path;Path4;[Travelers];Run;Throughput;NumberEntered;Total;133
Path;Path4;[Travelers];Run;Throughput;NumberExited;Total;133
Path;Path5;[Travelers];Run;Content;NumberOnLink;Average;0.00101562500000006
Path;Path5;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path5;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path5;[Travelers];Run;FlowTime;TimeOnLink;Average;0.000902777777777828
Path;Path5;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.000902777777777919
Path;Path5;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.000902777777777752
Path;Path5;[Travelers];Run;Throughput;NumberEntered;Total;27
Path;Path5;[Travelers];Run;Throughput;NumberExited;Total;27
Path;Path6;[Travelers];Run;Content;NumberOnLink;Average;0.0596093750000002
Path;Path6;[Travelers];Run;Content;NumberOnLink;Maximum;3
Path;Path6;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path6;[Travelers];Run;FlowTime;TimeOnLink;Average;0.00145833333333334
Path;Path6;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00145833333333334
Path;Path6;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.00145833333333328
Path;Path6;[Travelers];Run;Throughput;NumberEntered;Total;981
Path;Path6;[Travelers];Run;Throughput;NumberExited;Total;981
Path;Path7;[Travelers];Run;Content;NumberOnLink;Average;0.00115740740740743
Path;Path7;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path7;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path7;[Travelers];Run;FlowTime;TimeOnLink;Average;0.00173611111111114
Path;Path7;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.00173611111111116
Path;Path7;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.0017361111111111
Path;Path7;[Travelers];Run;Throughput;NumberEntered;Total;16
Path;Path7;[Travelers];Run;Throughput;NumberExited;Total;16
Path;Path8;[Travelers];Run;Content;NumberOnLink;Average;0.00668402777777787
Path;Path8;[Travelers];Run;Content;NumberOnLink;Maximum;1
Path;Path8;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path8;[Travelers];Run;FlowTime;TimeOnLink;Average;0.00114583333333335
Path;Path8;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.0011458333333334
Path;Path8;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.00114583333333329
Path;Path8;[Travelers];Run;Throughput;NumberEntered;Total;140
Path;Path8;[Travelers];Run;Throughput;NumberExited;Total;140
Path;Path9;[Travelers];Run;Content;NumberOnLink;Average;0.434071180555556
Path;Path9;[Travelers];Run;Content;NumberOnLink;Maximum;4
Path;Path9;[Travelers];Run;Content;NumberOnLink;Minimum;0
Path;Path9;[Travelers];Run;FlowTime;TimeOnLink;Average;0.694513888888889
Path;Path9;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0.694513888888889
Path;Path9;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0.694513888888888
Path;Path9;[Travelers];Run;Throughput;NumberEntered;Total;15
Path;Path9;[Travelers];Run;Throughput;NumberExited;Total;15
Server;RevisionPeso;[Object];Run;Costs;TotalCost;Total;960
Server;RevisionPeso;[Resource];Run;Capacity;ScheduledUtilization;Percent;2.91879449635599
Server;RevisionPeso;[Resource];Run;Capacity;UnitsAllocated;Total;1008
Server;RevisionPeso;[Resource];Run;Capacity;UnitsScheduled;Average;1
Server;RevisionPeso;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;RevisionPeso;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;RevisionPeso;[Resource];Run;Capacity;UnitsUtilized;Average;0.0291879449635599
Server;RevisionPeso;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;RevisionPeso;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Server;RevisionPeso;[Resource];Run;Costs;IdleCost;Total;931.979572834983
Server;RevisionPeso;[Resource];Run;Costs;UsageCostCharged;Total;28.0204271650175
Server;RevisionPeso;[Resource];Run;ResourceState;TimeProcessing;Average;0.0166788256934628
Server;RevisionPeso;[Resource];Run;ResourceState;TimeProcessing;Occurrences;42
Server;RevisionPeso;[Resource];Run;ResourceState;TimeProcessing;Percent;2.91879449635599
Server;RevisionPeso;[Resource];Run;ResourceState;TimeProcessing;Total;0.700510679125438
Server;RevisionPeso;[Resource];Run;ResourceState;TimeStarved;Average;0.541848588857548
Server;RevisionPeso;[Resource];Run;ResourceState;TimeStarved;Occurrences;43
Server;RevisionPeso;[Resource];Run;ResourceState;TimeStarved;Percent;97.081205503644
Server;RevisionPeso;[Resource];Run;ResourceState;TimeStarved;Total;23.2994893208746
Server;RevisionPeso;InputBuffer;Run;Content;NumberInStation;Average;0.10400976602091
Server;RevisionPeso;InputBuffer;Run;Content;NumberInStation;Maximum;14
Server;RevisionPeso;InputBuffer;Run;Content;NumberInStation;Minimum;0
Server;RevisionPeso;InputBuffer;Run;HoldingTime;TimeInStation;Average;0.00247642300049785
Server;RevisionPeso;InputBuffer;Run;HoldingTime;TimeInStation;Maximum;0.009489936300293
Server;RevisionPeso;InputBuffer;Run;HoldingTime;TimeInStation;Minimum;0
Server;RevisionPeso;InputBuffer;Run;Throughput;NumberEntered;Total;1008
Server;RevisionPeso;InputBuffer;Run;Throughput;NumberExited;Total;1008
Server;RevisionPeso;OutputBuffer;Run;Throughput;NumberEntered;Total;1008
Server;RevisionPeso;OutputBuffer;Run;Throughput;NumberExited;Total;1008
Server;RevisionPeso;Processing;Run;Content;NumberInStation;Average;0.0291879449635599
Server;RevisionPeso;Processing;Run;Content;NumberInStation;Maximum;1
Server;RevisionPeso;Processing;Run;Content;NumberInStation;Minimum;0
Server;RevisionPeso;Processing;Run;Costs;CostPerItem;Average;0.027798042822438
Server;RevisionPeso;Processing;Run;Costs;CostPerItem;Maximum;0.0333155129570528
Server;RevisionPeso;Processing;Run;Costs;CostPerItem;Minimum;0.0222273890627545
Server;RevisionPeso;Processing;Run;Costs;TotalCost;Total;28.0204271650175
Server;RevisionPeso;Processing;Run;HoldingTime;TimeInStation;Average;0.00069495107056095
Server;RevisionPeso;Processing;Run;HoldingTime;TimeInStation;Maximum;0.00083288782392632
Server;RevisionPeso;Processing;Run;HoldingTime;TimeInStation;Minimum;0.000555684726568861
Server;RevisionPeso;Processing;Run;Throughput;NumberEntered;Total;1008
Server;RevisionPeso;Processing;Run;Throughput;NumberExited;Total;1008
Server;RevisionTejido;[Object];Run;Costs;TotalCost;Total;960
Server;RevisionTejido;[Resource];Run;Capacity;ScheduledUtilization;Percent;0.989774883783494
Server;RevisionTejido;[Resource];Run;Capacity;UnitsAllocated;Total;1141
Server;RevisionTejido;[Resource];Run;Capacity;UnitsScheduled;Average;1
Server;RevisionTejido;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;RevisionTejido;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;RevisionTejido;[Resource];Run;Capacity;UnitsUtilized;Average;0.00989774883783494
Server;RevisionTejido;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;RevisionTejido;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Server;RevisionTejido;[Resource];Run;Costs;IdleCost;Total;950.498161115678
Server;RevisionTejido;[Resource];Run;Costs;UsageCostCharged;Total;9.50183888432154
Server;RevisionTejido;[Resource];Run;ResourceState;TimeProcessing;Average;0.000208191036028079
Server;RevisionTejido;[Resource];Run;ResourceState;TimeProcessing;Occurrences;1141
Server;RevisionTejido;[Resource];Run;ResourceState;TimeProcessing;Percent;0.989774883783494
Server;RevisionTejido;[Resource];Run;ResourceState;TimeProcessing;Total;0.237545972108038
Server;RevisionTejido;[Resource];Run;ResourceState;TimeStarved;Average;0.0208077530892224
Server;RevisionTejido;[Resource];Run;ResourceState;TimeStarved;Occurrences;1142
Server;RevisionTejido;[Resource];Run;ResourceState;TimeStarved;Percent;99.0102251162165
Server;RevisionTejido;[Resource];Run;ResourceState;TimeStarved;Total;23.762454027892
Server;RevisionTejido;InputBuffer;Run;Throughput;NumberEntered;Total;1141
Server;RevisionTejido;InputBuffer;Run;Throughput;NumberExited;Total;1141
Server;RevisionTejido;OutputBuffer;Run;Throughput;NumberEntered;Total;1141
Server;RevisionTejido;OutputBuffer;Run;Throughput;NumberExited;Total;1141
Server;RevisionTejido;Processing;Run;Content;NumberInStation;Average;0.00989774883783494
Server;RevisionTejido;Processing;Run;Content;NumberInStation;Maximum;1
Server;RevisionTejido;Processing;Run;Content;NumberInStation;Minimum;0
Server;RevisionTejido;Processing;Run;Costs;CostPerItem;Average;0.00832764144112317
Server;RevisionTejido;Processing;Run;Costs;CostPerItem;Maximum;0.0111100521818219
Server;RevisionTejido;Processing;Run;Costs;CostPerItem;Minimum;0.00555760487396695
Server;RevisionTejido;Processing;Run;Costs;TotalCost;Total;9.50183888432154
Server;RevisionTejido;Processing;Run;HoldingTime;TimeInStation;Average;0.000208191036028079
Server;RevisionTejido;Processing;Run;HoldingTime;TimeInStation;Maximum;0.000277751304545548
Server;RevisionTejido;Processing;Run;HoldingTime;TimeInStation;Minimum;0.000138940121849174
Server;RevisionTejido;Processing;Run;Throughput;NumberEntered;Total;1141
Server;RevisionTejido;Processing;Run;Throughput;NumberExited;Total;1141
Server;Vendedor;[Object];Run;Costs;TotalCost;Total;1200
Server;Vendedor;[Resource];Run;Capacity;ScheduledUtilization;Percent;6.51578895674112
Server;Vendedor;[Resource];Run;Capacity;UnitsAllocated;Total;16
Server;Vendedor;[Resource];Run;Capacity;UnitsScheduled;Average;1
Server;Vendedor;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;Vendedor;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;Vendedor;[Resource];Run;Capacity;UnitsUtilized;Average;0.0651578895674112
Server;Vendedor;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;Vendedor;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Server;Vendedor;[Resource];Run;Costs;IdleCost;Total;1121.81053251911
Server;Vendedor;[Resource];Run;Costs;UsageCostCharged;Total;78.1894674808934
Server;Vendedor;[Resource];Run;ResourceState;TimeProcessing;Average;1.56378934961787
Server;Vendedor;[Resource];Run;ResourceState;TimeProcessing;Occurrences;1
Server;Vendedor;[Resource];Run;ResourceState;TimeProcessing;Percent;6.51578895674112
Server;Vendedor;[Resource];Run;ResourceState;TimeProcessing;Total;1.56378934961787
Server;Vendedor;[Resource];Run;ResourceState;TimeStarved;Average;11.2181053251911
Server;Vendedor;[Resource];Run;ResourceState;TimeStarved;Occurrences;2
Server;Vendedor;[Resource];Run;ResourceState;TimeStarved;Percent;93.4842110432589
Server;Vendedor;[Resource];Run;ResourceState;TimeStarved;Total;22.4362106503821
Server;Vendedor;InputBuffer;Run;Content;NumberInStation;Average;0.435605862261495
Server;Vendedor;InputBuffer;Run;Content;NumberInStation;Maximum;14
Server;Vendedor;InputBuffer;Run;Content;NumberInStation;Minimum;0
Server;Vendedor;InputBuffer;Run;HoldingTime;TimeInStation;Average;0.653408793392242
Server;Vendedor;InputBuffer;Run;HoldingTime;TimeInStation;Maximum;1.31322099841956
Server;Vendedor;InputBuffer;Run;HoldingTime;TimeInStation;Minimum;0
Server;Vendedor;InputBuffer;Run;Throughput;NumberEntered;Total;16
Server;Vendedor;InputBuffer;Run;Throughput;NumberExited;Total;16
Server;Vendedor;OutputBuffer;Run;Throughput;NumberEntered;Total;16
Server;Vendedor;OutputBuffer;Run;Throughput;NumberExited;Total;16
Server;Vendedor;Processing;Run;Content;NumberInStation;Average;0.0651578895674112
Server;Vendedor;Processing;Run;Content;NumberInStation;Maximum;1
Server;Vendedor;Processing;Run;Content;NumberInStation;Minimum;0
Server;Vendedor;Processing;Run;Costs;CostPerItem;Average;4.88684171755584
Server;Vendedor;Processing;Run;Costs;CostPerItem;Maximum;5.84943386260773
Server;Vendedor;Processing;Run;Costs;CostPerItem;Minimum;3.29527930999833
Server;Vendedor;Processing;Run;Costs;TotalCost;Total;78.1894674808934
Server;Vendedor;Processing;Run;HoldingTime;TimeInStation;Average;0.0977368343511168
Server;Vendedor;Processing;Run;HoldingTime;TimeInStation;Maximum;0.116988677252155
Server;Vendedor;Processing;Run;HoldingTime;TimeInStation;Minimum;0.0659055861999667
Server;Vendedor;Processing;Run;Throughput;NumberEntered;Total;16
Server;Vendedor;Processing;Run;Throughput;NumberExited;Total;16
Sink;ContenedorReciclaje;[DestroyedEntities];Run;FlowTime;TimeInSystem;Average;0.0138330764897523
Sink;ContenedorReciclaje;[DestroyedEntities];Run;FlowTime;TimeInSystem;Maximum;0.0236440222522404
Sink;ContenedorReciclaje;[DestroyedEntities];Run;FlowTime;TimeInSystem;Minimum;0.0128985641911638
Sink;ContenedorReciclaje;[DestroyedEntities];Run;FlowTime;TimeInSystem;Observations;160
Sink;ContenedorReciclaje;InputBuffer;Run;Throughput;NumberEntered;Total;160
Sink;ContenedorReciclaje;InputBuffer;Run;Throughput;NumberExited;Total;160
Sink;Salida;[DestroyedEntities];Run;FlowTime;TimeInSystem;Average;3.53513992224149
Sink;Salida;[DestroyedEntities];Run;FlowTime;TimeInSystem;Maximum;6.41906813063077
Sink;Salida;[DestroyedEntities];Run;FlowTime;TimeInSystem;Minimum;1.5562531823966
Sink;Salida;[DestroyedEntities];Run;FlowTime;TimeInSystem;Observations;15
Sink;Salida;InputBuffer;Run;Throughput;NumberEntered;Total;15
Sink;Salida;InputBuffer;Run;Throughput;NumberExited;Total;15
Source;AlmacenTela;OutputBuffer;Run;Content;NumberInStation;Average;0.0038841230936819
Source;AlmacenTela;OutputBuffer;Run;Content;NumberInStation;Maximum;1
Source;AlmacenTela;OutputBuffer;Run;Content;NumberInStation;Minimum;0
Source;AlmacenTela;OutputBuffer;Run;HoldingTime;TimeInStation;Average;8.16993464052285E-05
Source;AlmacenTela;OutputBuffer;Run;HoldingTime;TimeInStation;Maximum;8.16993464052285E-05
Source;AlmacenTela;OutputBuffer;Run;HoldingTime;TimeInStation;Minimum;8.16993464052285E-05
Source;AlmacenTela;OutputBuffer;Run;Throughput;NumberEntered;Total;1141
Source;AlmacenTela;OutputBuffer;Run;Throughput;NumberExited;Total;1141
Source;AlmacenTela;Processing;Run;Throughput;NumberEntered;Total;1141
Source;AlmacenTela;Processing;Run;Throughput;NumberExited;Total;1141
Source;DispensadorCajas;OutputBuffer;Run;Content;NumberInStation;Average;0.000679976851852015
Source;DispensadorCajas;OutputBuffer;Run;Content;NumberInStation;Maximum;1
Source;DispensadorCajas;OutputBuffer;Run;Content;NumberInStation;Minimum;0
Source;DispensadorCajas;OutputBuffer;Run;HoldingTime;TimeInStation;Average;0.000115740740740769
Source;DispensadorCajas;OutputBuffer;Run;HoldingTime;TimeInStation;Maximum;0.000115740740740833
Source;DispensadorCajas;OutputBuffer;Run;HoldingTime;TimeInStation;Minimum;0.000115740740740722
Source;DispensadorCajas;OutputBuffer;Run;Throughput;NumberEntered;Total;141
Source;DispensadorCajas;OutputBuffer;Run;Throughput;NumberExited;Total;141
Source;DispensadorCajas;Processing;Run;Throughput;NumberEntered;Total;141
Source;DispensadorCajas;Processing;Run;Throughput;NumberExited;Total;141
Source;Entrada;OutputBuffer;Run;Throughput;NumberEntered;Total;16
Source;Entrada;OutputBuffer;Run;Throughput;NumberExited;Total;16
Source;Entrada;Processing;Run;Throughput;NumberEntered;Total;16
Source;Entrada;Processing;Run;Throughput;NumberExited;Total;16
Source;FlotaCamiones;OutputBuffer;Run;Throughput;NumberEntered;Total;16
Source;FlotaCamiones;OutputBuffer;Run;Throughput;NumberExited;Total;16
Source;FlotaCamiones;Processing;Run;Throughput;NumberEntered;Total;16
Source;FlotaCamiones;Processing;Run;Throughput;NumberExited;Total;16
